"id";"time";"attrstring";"value"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:15:10+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:16:00+07";"";"0.014"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:16:00+07";"";"1.107"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:16:09+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:17:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:17:00+07";"";"1.092"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:17:07+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:18:00+07";"";"0.016"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:18:00+07";"";"1.105"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:18:06+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:19:00+07";"";"0.017"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:19:00+07";"";"1.105"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:19:04+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:20:00+07";"";"0.015"
"ee/fl1/corridor/elevator_front/z1/outlet1/monitor/energy";"2017-01-01 01:20:00+07";"";"1.106"
"ee/fl2/west/storeroom_office/z1/sensor1/monitor/humidity";"2017-01-01 01:20:03+07";"";"44.9"
"ee/fl1/emu10x/sub14/phase_s/load15/monitor/energy";"2017-01-01 01:21:00+07";"";"0.014"
